"filename", "language", "Python", "TOML", "Markdown", "pip requirements", "Batch", "comment", "blank", "total"
"c:\Users\jward\Documents\GitHub\charlie-reporting\requirements.txt", "pip requirements", 0, 0, 0, 6, 0, 11, 1, 18
"c:\Users\jward\Documents\GitHub\charlie-reporting\run.py", "Python", 8, 0, 0, 0, 0, 8, 4, 20
"c:\Users\jward\Documents\GitHub\charlie-reporting\setup_dev.py", "Python", 9, 0, 0, 0, 0, 8, 4, 21
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\__init__.py", "Python", 0, 0, 0, 0, 0, 9, 2, 11
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\archiver.py", "Python", 19, 0, 0, 0, 0, 15, 7, 41
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\config_loader.py", "Python", 33, 0, 0, 0, 0, 19, 11, 63
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\email_fetcher.py", "Python", 284, 0, 0, 0, 0, 116, 92, 492
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\excel_writer.py", "Python", 152, 0, 0, 0, 0, 82, 53, 287
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\logger.py", "Python", 23, 0, 0, 0, 0, 9, 10, 42
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\main.py", "Python", 167, 0, 0, 0, 0, 78, 55, 300
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\transformer.py", "Python", 158, 0, 0, 0, 0, 89, 48, 295
"c:\Users\jward\Documents\GitHub\charlie-reporting\src\utils.py", "Python", 13, 0, 0, 0, 0, 23, 8, 44
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\conftest.py", "Python", 15, 0, 0, 0, 0, 38, 7, 60
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_email_fetcher_directory_and_accounts.py", "Python", 266, 0, 0, 0, 0, 73, 108, 447
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_email_fetcher_enhanced.py", "Python", 218, 0, 0, 0, 0, 46, 94, 358
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_excel_writer_enhanced.py", "Python", 197, 0, 0, 0, 0, 61, 90, 348
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_main_processor.py", "Python", 220, 0, 0, 0, 0, 58, 98, 376
"c:\Users\jward\Documents\GitHub\charlie-reporting\tests\test_transformer.py", "Python", 203, 0, 0, 0, 0, 67, 80, 350
"Total", "-", 6792, 96, 223, 6, 17, 1556, 1740, 10430
